item_no,section_code,requirement_id,checklist_item,mandatory,provided,attached_file_name,reviewer_comment
1,4,REQ-SEC-4,4.ПОДНЕСУВАЊЕ И ОТВАРАЊЕ НА ПОНУДИ.....................................................................9,yes,,,
2,5,REQ-SEC-5,5.УТВРДУВАЊЕ СПОСОБНОСТ..........................................................................................11,yes,,,
3,1.3,REQ-SEC-1-3,1.3.Предмет на постапката за јавна набавка,yes,,,
4,1.5,REQ-SEC-1-5,1.5.Општи мерки за спречување на корупцијата,yes,,,
5,1.6.1,REQ-SEC-1-6-1,1.6.1.Договорот за јавна набавка ќе се додели со примена на отворена постапка.,yes,,,
6,3.4,REQ-SEC-3-4,3.4.Цена на понудата,yes,,,
7,4.2,REQ-SEC-4-2,4.2.Краен рок за поднесување на понудите,yes,,,
8,4.3,REQ-SEC-4-3,4.3.Содржина на понудата,yes,,,
9,4.3.1,REQ-SEC-4-3-1,4.3.1.Понудата треба да е составена од следнава документација,yes,,,
10,4.4,REQ-SEC-4-4,4.4.Подизведување,yes,,,
11,5.1,REQ-SEC-5-1,5.1.Утврдување способност,yes,,,
12,5.2,REQ-SEC-5-2,5.2.Причини за исклучување од постапката,yes,,,
13,5.3,REQ-SEC-5-3,5.3.Услови за квалитативен избор,yes,,,
