item_no,section_code,requirement_id,checklist_item,mandatory,provided,attached_file_name,reviewer_comment
1,4,REQ-SEC-4,4.ПОДНЕСУВАЊЕ И ОТВАРАЊЕ НА ПОНУДИ...........................................................................6,yes,,,
2,5,REQ-SEC-5,5.УТВРДУВАЊЕ СПОСОБНОСТ...................................................................................................8,yes,,,
3,1.3,REQ-SEC-1-3,1.3.Општи мерки за спречување на корупцијата,yes,,,
4,1.5,REQ-SEC-1-5,1.5.Посебни начини за доделување на договорот за јавна набавка,yes,,,
5,3.4,REQ-SEC-3-4,3.4.Цена на понудата,yes,,,
6,4.2,REQ-SEC-4-2,4.2.Краен рок за поднесување на понудите,yes,,,
7,4.3,REQ-SEC-4-3,4.3.Елементи на понудата,yes,,,
8,4.3.1,REQ-SEC-4-3-1,4.3.1.Понудата треба да е составена од следниве елементи,yes,,,
9,4.3.2,REQ-SEC-4-3-2,4.3.2.Понудувачот може дел од договорот за јавна набавка да додели на подизведувач. Доколку,yes,,,
10,5.1,REQ-SEC-5-1,5.1.Критериуми за утврдување на способност на понудувачите,yes,,,
11,5.2,REQ-SEC-5-2,5.2.Начин на докажување на способноста на кандидатите,yes,,,
