item_no,section_code,requirement_id,checklist_item,mandatory,provided,attached_file_name,reviewer_comment
1,4,REQ-SEC-4,4.ПОДНЕСУВАЊЕ И ОТВОРАЊЕ НА ПОНУДИТЕ..................................................................................12,yes,,,
2,5,REQ-SEC-5,5.УТВРДУВАЊЕ СПОСОБНОСТ..............................................................................................................13,yes,,,
3,1.3,REQ-SEC-1-3,1.3.Предмет на постапката за јавна набавка,yes,,,
4,1.5,REQ-SEC-1-5,1.5.Вид на постапка за јавна набавка,yes,,,
5,1.6.1,REQ-SEC-1-6-1,1.6.1.Електронска аукцијаДоговорот за јавна набавка ќе се додели со користење електронска,yes,,,
6,1.6.1.1,REQ-SEC-1-6-1-1,"1.6.1.1.Предмет на електронската аукција ќе биде Вкупната цена за сите локации на месечно ниво,",yes,,,
7,3.4,REQ-SEC-3-4,3.4.Начин на плаќање,yes,,,
8,3.9,REQ-SEC-3-9,3.9.Краен рок за поднесување на понудите,yes,,,
9,3.10,REQ-SEC-3-10,3.10.Содржина на понудата,yes,,,
10,4.2,REQ-SEC-4-2,4.2.Причини за исклучување од постапката,yes,,,
11,4.2.4,REQ-SEC-4-2-4,"4.2.4.За докажување дека не постојат услови за исклучување од постапката, економскиот оператор",yes,,,
12,4.3,REQ-SEC-4-3,4.3.Услови за квалитативен избор,yes,,,
13,4.3.1,REQ-SEC-4-3-1,4.3.1.Способност за вршење на професионална дејност,yes,,,
14,4.3.2,REQ-SEC-4-3-2,4.3.2.Техничка и професионална способност,yes,,,
15,4.4,REQ-SEC-4-4,4.4.Стандарди за системи за квалитет,yes,,,
16,5.1,REQ-SEC-5-1,5.1.Доделување на договорот за јавна набавка,yes,,,
17,5.2,REQ-SEC-5-2,5.2.Известување за доделување на договорот за јавна набавка,yes,,,
18,5.3,REQ-SEC-5-3,5.3.Склучување на договорот,yes,,,
19,4.2.4,REQ-EXCL-DOC-001,"изјава на економскиот оператор дека во последните 5 години на економскиот оператор или на лицето кое е член на управниот или на надзорниот орган на тој економски оператор или кое има овластувања за застапување или донесување одлуки или надзор врз него, во посл",yes,,,
20,4.2.4,REQ-EXCL-DOC-002,"потврда за платени даноци, придонеси и други јавни давачки од надлежен орган од земјата каде економскиот оператор е регистриран;",yes,,,
21,4.2.4,REQ-EXCL-DOC-003,потврда дека не е отворена постапка за стечај од надлежен орган или единствен документ за докажување на способноста;,yes,,,
22,4.2.4,REQ-EXCL-DOC-004,потврда дека не е отворена постапка за ликвидација од надлежен орган или единствен документ за докажување на способноста;,yes,,,
23,4.2.4,REQ-EXCL-DOC-005,"потврда од Регистарот на казни за сторени кривични дела на правните лица дека не му е изречена споредна казна забрана за учество во постапки за јавен повик, доделување на договори за јавна набавка и договори за јавно-приватно партнерство или единствен документ",yes,,,
24,4.2.4,REQ-EXCL-DOC-006,потврда од Регистарот на казни за сторени кривични дела на правните лица дека не му е изречена споредна казна привремена забрана за вршење на одделна дејност или единствен документ за докажување на способноста;,yes,,,
25,4.2.4,REQ-EXCL-DOC-007,потврда од Регистарот на казни за сторени кривични дела на правните лица дека не му е изречена споредна казна трајна забрана за вршење на одделна дејност или единствен документ за докажување на способноста;,yes,,,
26,4.2.4,REQ-EXCL-DOC-008,"потврда дека со правосилна пресуда не му е изречена прекршочна санкција - забрана за вршење на професија, дејност или должност или единствен документ за докажување на способноста и 13",yes,,,
27,4.2.4,REQ-EXCL-DOC-009,потврда дека со правосилна пресуда не му е изречена прекршочна санкција - привремена забрана за вршење одделна дејност или единствен документ за докажување на способноста. 4.2.5.Изјавата од алинеја 1 од погорната потточка ја изготвува самиот економски оператор,yes,,,
